Planet,Longitude,Nakshatra,Padam,Nakshatra Lord,Full Degree,Latitude/Shara,Speed(deg/day),RightAscension,Declination/Kranti,DateTime
Spashth Ketu ,04°Kark17′ 45″, Pushya,1,Shani,94.3,00°N00′ 00″,-0.01,120.13,20.56,1991-01-01 13:30:00
Lagna ,22°Vibh36′ 16″, Rohini,4,Chandra,52.6,00°N00′ 00″,396.74,75.17,22.74,1991-01-01 15:30:00
Surya ,16°Dhan50′ 52″, P Ashadha,2,Shukra,256.85,00°S00′ 00″,1.02,281.51,-23.02,1991-01-01 15:30:00
Chandra ,27°Mitu19′ 35″, Punarvasu,3,Guru,87.33,00°N38′ 29″,14.98,112.88,22.43,1991-01-01 15:30:00
Mangal ,04°Vibh00′ 53″, Krittika,3,Surya,34.01,02°N20′ 34″,0.0,54.92,21.94,1991-01-01 15:30:00
Budha ,00°Dhan21′ 43″, Mula,1,Ketu,240.36,03°N07′ 52″,-0.36,263.72,-20.18,1991-01-01 15:30:00
Guru ,18°Kark11′ 37″, Ashlesha,1,Budha,108.19,00°N40′ 59″,-0.1,134.59,17.87,1991-01-01 15:30:00
Shukra ,01°Maka38′ 12″, U Ashadha,2,Surya,271.64,01°S17′ 47″,1.25,297.59,-22.34,1991-01-01 15:30:00
Shani ,01°Maka59′ 06″, U Ashadha,2,Surya,271.99,00°S08′ 36″,0.12,297.73,-21.14,1991-01-01 15:30:00
Lagna ,17°Kumb40′ 32″, Shatabhisha,4,Rahu,317.68,00°N00′ 00″,792.34,342.85,-7.28,1991-01-01 12:00:00
Surya ,16°Dhan41′ 57″, P Ashadha,2,Shukra,256.7,00°S00′ 00″,1.02,281.35,-23.03,1991-01-01 12:00:00
Arun ,16°Dhan01′ 23″, P Ashadha,1,Shukra,256.02,00°S19′ 09″,0.06,280.65,-23.4,1991-01-01 15:30:00
Varun ,20°Dhan23′ 55″, P Ashadha,3,Shukra,260.4,00°N47′ 25″,0.04,285.26,-21.91,1991-01-01 15:30:00
Yam ,26°Tula01′ 07″, Vishakha,2,Guru,206.02,14°N58′ 46″,0.03,-128.69,-3.22,1991-01-01 15:30:00
Rahu ,05°Maka21′ 51″, U Ashadha,3,Surya,275.36,00°N00′ 00″,-0.05,301.25,-20.34,1991-01-01 15:30:00
Ketu ,05°Kark21′ 51″, Pushya,1,Shani,95.36,00°N00′ 00″,-0.05,121.25,20.34,1991-01-01 15:30:00
Spashth Rahu ,04°Maka17′ 42″, U Ashadha,3,Surya,274.3,00°N00′ 00″,-0.01,300.13,-20.56,1991-01-01 15:30:00
Spashth Ketu ,04°Kark17′ 42″, Pushya,1,Shani,94.3,00°N00′ 00″,-0.01,120.13,20.56,1991-01-01 15:30:00
Chandra ,25°Mitu08′ 23″, Punarvasu,2,Guru,85.14,00°N50′ 27″,15.01,110.57,22.94,1991-01-01 12:00:00
Mangal ,04°Vibh00′ 54″, Krittika,3,Surya,34.02,02°N20′ 30″,-0.002,54.92,21.94,1991-01-01 12:00:00
Budha ,00°Dhan25′ 00″, Mula,1,Ketu,240.42,03°N08′ 10″,-0.39,263.78,-20.18,1991-01-01 12:00:00
Guru ,18°Kark12′ 28″, Ashlesha,1,Budha,108.21,00°N40′ 58″,-0.1,134.61,17.87,1991-01-01 12:00:00
Shukra ,01°Maka27′ 14″, U Ashadha,2,Surya,271.45,01°S17′ 34″,1.25,297.4,-22.37,1991-01-01 12:00:00
Shani ,01°Maka58′ 05″, U Ashadha,2,Surya,271.97,00°S08′ 36″,0.12,297.71,-21.15,1991-01-01 12:00:00
Arun ,16°Dhan00′ 51″, P Ashadha,1,Shukra,256.01,00°S19′ 08″,0.06,280.64,-23.4,1991-01-01 12:00:00
Varun ,20°Dhan23′ 35″, P Ashadha,3,Shukra,260.39,00°N47′ 25″,0.04,285.26,-21.91,1991-01-01 12:00:00
Lagna ,13°Vibh47′ 00″, Rohini,2,Chandra,43.78,00°N00′ 00″,451.88,65.72,21.57,1991-01-01 15:00:00
Yam ,26°Tula00′ 52″, Vishakha,2,Guru,206.01,14°N58′ 43″,0.03,-128.69,-3.22,1991-01-01 12:00:00
Rahu ,05°Maka22′ 19″, U Ashadha,3,Surya,275.37,00°N00′ 00″,-0.05,301.25,-20.34,1991-01-01 12:00:00
Ketu ,05°Kark22′ 19″, Pushya,1,Shani,95.37,00°N00′ 00″,-0.05,121.25,20.34,1991-01-01 12:00:00
Spashth Rahu ,04°Maka17′ 47″, U Ashadha,3,Surya,274.3,00°N00′ 00″,-0.01,300.13,-20.56,1991-01-01 12:00:00
Spashth Ketu ,04°Kark17′ 47″, Pushya,1,Shani,94.3,00°N00′ 00″,-0.01,120.13,20.56,1991-01-01 12:00:00
Surya ,16°Dhan49′ 35″, P Ashadha,2,Shukra,256.83,00°S00′ 00″,1.02,281.49,-23.02,1991-01-01 15:00:00
Chandra ,27°Mitu00′ 52″, Punarvasu,3,Guru,87.01,00°N40′ 11″,14.98,112.55,22.5,1991-01-01 15:00:00
Mangal ,04°Vibh00′ 53″, Krittika,3,Surya,34.01,02°N20′ 33″,-0.001,54.92,21.94,1991-01-01 15:00:00
Budha ,00°Dhan22′ 11″, Mula,1,Ketu,240.37,03°N07′ 55″,-0.36,263.73,-20.18,1991-01-01 15:00:00
Guru ,18°Kark11′ 44″, Ashlesha,1,Budha,108.2,00°N40′ 59″,-0.1,134.6,17.87,1991-01-01 15:00:00
Shukra ,01°Maka36′ 38″, U Ashadha,2,Surya,271.61,01°S17′ 45″,1.25,297.57,-22.34,1991-01-01 15:00:00
Shani ,01°Maka58′ 57″, U Ashadha,2,Surya,271.98,00°S08′ 36″,0.12,297.73,-21.14,1991-01-01 15:00:00
Lagna ,21°Meen53′ 45″, Revati,2,Budha,351.9,00°N00′ 00″,803.31,14.4,6.15,1991-01-01 13:00:00
Lagna ,04°Meen43′ 26″, U Bhadrapada,1,Shani,334.72,00°N00′ 00″,833.84,358.59,-0.61,1991-01-01 12:30:00
Arun ,16°Dhan01′ 18″, P Ashadha,1,Shukra,256.02,00°S19′ 09″,0.06,280.64,-23.4,1991-01-01 15:00:00
Varun ,20°Dhan23′ 52″, P Ashadha,3,Shukra,260.4,00°N47′ 25″,0.04,285.26,-21.91,1991-01-01 15:00:00
Yam ,26°Tula01′ 05″, Vishakha,2,Guru,206.02,14°N58′ 45″,0.03,-128.69,-3.22,1991-01-01 15:00:00
Rahu ,05°Maka21′ 55″, U Ashadha,3,Surya,275.37,00°N00′ 00″,-0.05,301.25,-20.34,1991-01-01 15:00:00
Ketu ,05°Kark21′ 55″, Pushya,1,Shani,95.37,00°N00′ 00″,-0.05,121.25,20.34,1991-01-01 15:00:00
Spashth Rahu ,04°Maka17′ 43″, U Ashadha,3,Surya,274.3,00°N00′ 00″,-0.01,300.13,-20.56,1991-01-01 15:00:00
Spashth Ketu ,04°Kark17′ 43″, Pushya,1,Shani,94.3,00°N00′ 00″,-0.01,120.13,20.56,1991-01-01 15:00:00
Surya ,16°Dhan44′ 29″, P Ashadha,2,Shukra,256.74,00°S00′ 00″,1.02,281.4,-23.03,1991-01-01 13:00:00
Chandra ,25°Mitu45′ 54″, Punarvasu,2,Guru,85.77,00°N47′ 02″,15.0,111.23,22.8,1991-01-01 13:00:00
Mangal ,04°Vibh00′ 53″, Krittika,3,Surya,34.01,02°N20′ 31″,-0.002,54.92,21.94,1991-01-01 13:00:00
Budha ,00°Dhan24′ 02″, Mula,1,Ketu,240.4,03°N08′ 05″,-0.38,263.76,-20.18,1991-01-01 13:00:00
Guru ,18°Kark12′ 14″, Ashlesha,1,Budha,108.2,00°N40′ 58″,-0.1,134.6,17.87,1991-01-01 13:00:00
Shukra ,01°Maka30′ 22″, U Ashadha,2,Surya,271.51,01°S17′ 38″,1.25,297.45,-22.36,1991-01-01 13:00:00
Shani ,01°Maka58′ 22″, U Ashadha,2,Surya,271.97,00°S08′ 36″,0.12,297.72,-21.14,1991-01-01 13:00:00
Surya ,16°Dhan43′ 13″, P Ashadha,2,Shukra,256.72,00°S00′ 00″,1.02,281.38,-23.03,1991-01-01 12:30:00
Chandra ,25°Mitu27′ 09″, Punarvasu,2,Guru,85.45,00°N48′ 44″,15.01,110.9,22.87,1991-01-01 12:30:00
Mangal ,04°Vibh00′ 54″, Krittika,3,Surya,34.02,02°N20′ 30″,-0.002,54.92,21.94,1991-01-01 12:30:00
Budha ,00°Dhan24′ 31″, Mula,1,Ketu,240.41,03°N08′ 07″,-0.38,263.77,-20.18,1991-01-01 12:30:00
Guru ,18°Kark12′ 21″, Ashlesha,1,Budha,108.21,00°N40′ 58″,-0.1,134.61,17.87,1991-01-01 12:30:00
Shukra ,01°Maka28′ 48″, U Ashadha,2,Surya,271.48,01°S17′ 36″,1.25,297.43,-22.37,1991-01-01 12:30:00
Shani ,01°Maka58′ 13″, U Ashadha,2,Surya,271.97,00°S08′ 36″,0.12,297.72,-21.15,1991-01-01 12:30:00
Lagna ,01°Tula26′ 45″, Chitra,3,Mangal,181.45,00°N00′ 00″,255.46,203.34,-9.75,1991-03-01 23:00:00
Arun ,16°Dhan01′ 00″, P Ashadha,1,Shukra,256.02,00°S19′ 08″,0.06,280.64,-23.4,1991-01-01 13:00:00
Varun ,20°Dhan23′ 40″, P Ashadha,3,Shukra,260.39,00°N47′ 25″,0.04,285.26,-21.91,1991-01-01 13:00:00
Yam ,26°Tula00′ 56″, Vishakha,2,Guru,206.02,14°N58′ 44″,0.03,-128.69,-3.22,1991-01-01 13:00:00
Rahu ,05°Maka22′ 11″, U Ashadha,3,Surya,275.37,00°N00′ 00″,-0.05,301.25,-20.34,1991-01-01 13:00:00
Ketu ,05°Kark22′ 11″, Pushya,1,Shani,95.37,00°N00′ 00″,-0.05,121.25,20.34,1991-01-01 13:00:00
Spashth Rahu ,04°Maka17′ 45″, U Ashadha,3,Surya,274.3,00°N00′ 00″,-0.01,300.13,-20.56,1991-01-01 13:00:00
Spashth Ketu ,04°Kark17′ 45″, Pushya,1,Shani,94.3,00°N00′ 00″,-0.01,120.13,20.56,1991-01-01 13:00:00
Arun ,16°Dhan00′ 56″, P Ashadha,1,Shukra,256.02,00°S19′ 08″,0.06,280.64,-23.4,1991-01-01 12:30:00
Varun ,20°Dhan23′ 38″, P Ashadha,3,Shukra,260.39,00°N47′ 25″,0.04,285.26,-21.91,1991-01-01 12:30:00
Yam ,26°Tula00′ 54″, Vishakha,2,Guru,206.02,14°N58′ 43″,0.03,-128.69,-3.22,1991-01-01 12:30:00
Rahu ,05°Maka22′ 15″, U Ashadha,3,Surya,275.37,00°N00′ 00″,-0.05,301.25,-20.34,1991-01-01 12:30:00
Ketu ,05°Kark22′ 15″, Pushya,1,Shani,95.37,00°N00′ 00″,-0.05,121.25,20.34,1991-01-01 12:30:00
Spashth Rahu ,04°Maka17′ 46″, U Ashadha,3,Surya,274.3,00°N00′ 00″,-0.01,300.13,-20.56,1991-01-01 12:30:00
Surya ,16°Kumb59′ 29″, Shatabhisha,4,Rahu,316.99,00°S00′ 00″,1.0,342.22,-7.54,1991-03-01 23:00:00
Chandra ,00°Kany35′ 30″, U Phalguni,2,Surya,150.59,04°S19′ 19″,13.6,173.09,-1.72,1991-03-01 23:00:00
Mangal ,20°Vibh19′ 20″, Rohini,4,Chandra,50.32,02°N09′ 55″,0.45,72.43,24.64,1991-03-01 23:00:00
Budha ,16°Kumb45′ 03″, Shatabhisha,4,Rahu,316.75,01°S48′ 31″,1.88,342.69,-9.31,1991-03-01 23:00:00
Guru ,11°Kark06′ 12″, Pushya,3,Shani,101.1,00°N47′ 29″,-0.09,127.39,19.82,1991-03-01 23:00:00
Shukra ,15°Meen26′ 06″, U Bhadrapada,4,Shani,345.44,00°S46′ 33″,1.23,8.74,2.92,1991-03-01 23:00:00
Shani ,08°Maka46′ 57″, U Ashadha,4,Surya,278.78,00°S13′ 07″,0.1,304.85,-19.81,1991-03-01 23:00:00
Spashth Ketu ,04°Kark17′ 46″, Pushya,1,Shani,94.3,00°N00′ 00″,-0.01,120.13,20.56,1991-01-01 12:30:00
Arun ,19°Dhan07′ 54″, P Ashadha,2,Shukra,259.13,00°S20′ 05″,0.04,284.02,-23.15,1991-03-01 23:00:00
Varun ,22°Dhan24′ 01″, P Ashadha,3,Shukra,262.4,00°N47′ 29″,0.02,287.41,-21.68,1991-03-01 23:00:00
Yam ,26°Tula46′ 01″, Vishakha,3,Guru,206.77,15°N24′ 39″,-0.005,-127.88,-2.99,1991-03-01 23:00:00
Rahu ,02°Maka13′ 16″, U Ashadha,2,Surya,272.22,00°N00′ 00″,-0.05,297.96,-20.96,1991-03-01 23:00:00
Ketu ,02°Kark13′ 16″, Punarvasu,4,Guru,92.22,00°N00′ 00″,-0.05,117.96,20.96,1991-03-01 23:00:00
Spashth Rahu ,03°Maka32′ 32″, U Ashadha,3,Surya,273.54,00°N00′ 00″,-0.12,299.34,-20.71,1991-03-01 23:00:00
Spashth Ketu ,03°Kark32′ 32″, Pushya,1,Shani,93.54,00°N00′ 00″,-0.12,119.34,20.71,1991-03-01 23:00:00
Lagna ,26°Kany07′ 03″, Chitra,1,Mangal,176.12,00°N00′ 00″,256.05,198.33,-7.77,1991-03-01 22:30:00
Surya ,16°Kumb58′ 14″, Shatabhisha,4,Rahu,316.97,00°S00′ 00″,1.0,342.2,-7.55,1991-03-01 22:30:00
Chandra ,00°Kany18′ 30″, U Phalguni,2,Surya,150.31,04°S18′ 29″,13.61,172.83,-1.59,1991-03-01 22:30:00
Mangal ,20°Vibh18′ 46″, Rohini,4,Chandra,50.31,02°N09′ 56″,0.45,72.42,24.64,1991-03-01 22:30:00
Budha ,16°Kumb42′ 42″, Shatabhisha,4,Rahu,316.71,01°S48′ 36″,1.88,342.65,-9.32,1991-03-01 22:30:00
Guru ,11°Kark06′ 18″, Pushya,3,Shani,101.11,00°N47′ 29″,-0.09,127.39,19.82,1991-03-01 22:30:00
Shukra ,15°Meen24′ 34″, U Bhadrapada,4,Shani,345.41,00°S46′ 36″,1.23,8.71,2.91,1991-03-01 22:30:00
Shani ,08°Maka46′ 50″, U Ashadha,4,Surya,278.78,00°S13′ 07″,0.1,304.85,-19.81,1991-03-01 22:30:00
Arun ,19°Dhan07′ 51″, P Ashadha,2,Shukra,259.13,00°S20′ 04″,0.04,284.02,-23.15,1991-03-01 22:30:00
Varun ,22°Dhan23′ 59″, P Ashadha,3,Shukra,262.4,00°N47′ 29″,0.03,287.4,-21.68,1991-03-01 22:30:00
Yam ,26°Tula46′ 01″, Vishakha,3,Guru,206.77,15°N24′ 39″,-0.005,-127.88,-2.99,1991-03-01 22:30:00
Rahu ,02°Maka13′ 20″, U Ashadha,2,Surya,272.22,00°N00′ 00″,-0.05,297.96,-20.96,1991-03-01 22:30:00
Ketu ,02°Kark13′ 20″, Punarvasu,4,Guru,92.22,00°N00′ 00″,-0.05,117.96,20.96,1991-03-01 22:30:00
Spashth Rahu ,03°Maka32′ 41″, U Ashadha,3,Surya,273.54,00°N00′ 00″,-0.12,299.35,-20.7,1991-03-01 22:30:00
Spashth Ketu ,03°Kark32′ 41″, Pushya,1,Shani,93.54,00°N00′ 00″,-0.12,119.35,20.7,1991-03-01 22:30:00
Lagna ,20°Kany46′ 26″, Hasta,4,Chandra,170.77,00°N00′ 00″,256.64,193.36,-5.72,1991-03-01 22:00:00
Surya ,16°Kumb56′ 58″, Shatabhisha,4,Rahu,316.95,00°S00′ 00″,1.0,342.18,-7.56,1991-03-01 22:00:00
Chandra ,00°Kany01′ 28″, U Phalguni,2,Surya,150.02,04°S17′ 39″,13.61,172.58,-1.47,1991-03-01 22:00:00
Mangal ,20°Vibh18′ 12″, Rohini,4,Chandra,50.3,02°N09′ 56″,0.45,72.41,24.64,1991-03-01 22:00:00
Budha ,16°Kumb40′ 21″, Shatabhisha,4,Rahu,316.67,01°S48′ 42″,1.88,342.61,-9.34,1991-03-01 22:00:00
Guru ,11°Kark06′ 25″, Pushya,3,Shani,101.11,00°N47′ 29″,-0.09,127.4,19.82,1991-03-01 22:00:00
Shukra ,15°Meen23′ 02″, U Bhadrapada,4,Shani,345.38,00°S46′ 39″,1.23,8.69,2.9,1991-03-01 22:00:00
Shani ,08°Maka46′ 42″, U Ashadha,4,Surya,278.78,00°S13′ 06″,0.1,304.85,-19.81,1991-03-01 22:00:00
Lagna ,15°Kany25′ 30″, Hasta,2,Chandra,165.43,00°N00′ 00″,257.11,188.42,-3.63,1991-03-01 21:30:00
Lagna ,21°Mesh45′ 03″, Bharani,3,Shukra,21.75,00°N00′ 00″,616.61,43.02,16.48,1991-01-01 14:00:00
Lagna ,10°Kany03′ 55″, Hasta,1,Chandra,160.07,00°N00′ 00″,257.39,183.49,-1.51,1991-03-01 21:00:00
Arun ,19°Dhan07′ 48″, P Ashadha,2,Shukra,259.13,00°S20′ 04″,0.04,284.02,-23.15,1991-03-01 22:00:00
Varun ,22°Dhan23′ 57″, P Ashadha,3,Shukra,262.4,00°N47′ 29″,0.03,287.4,-21.68,1991-03-01 22:00:00
Yam ,26°Tula46′ 02″, Vishakha,3,Guru,206.77,15°N24′ 38″,-0.005,-127.88,-2.99,1991-03-01 22:00:00
Rahu ,02°Maka13′ 24″, U Ashadha,2,Surya,272.22,00°N00′ 00″,-0.05,297.96,-20.96,1991-03-01 22:00:00
Ketu ,02°Kark13′ 24″, Punarvasu,4,Guru,92.22,00°N00′ 00″,-0.05,117.96,20.96,1991-03-01 22:00:00
Spashth Rahu ,03°Maka32′ 50″, U Ashadha,3,Surya,273.55,00°N00′ 00″,-0.12,299.35,-20.7,1991-03-01 22:00:00
Spashth Ketu ,03°Kark32′ 50″, Pushya,1,Shani,93.55,00°N00′ 00″,-0.12,119.35,20.7,1991-03-01 22:00:00
Surya ,16°Kumb55′ 43″, Shatabhisha,4,Rahu,316.93,00°S00′ 00″,1.0,342.16,-7.57,1991-03-01 21:30:00
Chandra ,29°Simh44′ 28″, U Phalguni,1,Surya,149.74,04°S16′ 48″,13.62,172.32,-1.34,1991-03-01 21:30:00
Mangal ,20°Vibh17′ 39″, Rohini,4,Chandra,50.29,02°N09′ 57″,0.45,72.4,24.64,1991-03-01 21:30:00
Budha ,16°Kumb38′ 01″, Shatabhisha,3,Rahu,316.63,01°S48′ 47″,1.88,342.58,-9.36,1991-03-01 21:30:00
Guru ,11°Kark06′ 31″, Pushya,3,Shani,101.11,00°N47′ 29″,-0.09,127.4,19.82,1991-03-01 21:30:00
Shukra ,15°Meen21′ 30″, U Bhadrapada,4,Shani,345.36,00°S46′ 42″,1.23,8.67,2.89,1991-03-01 21:30:00
Surya ,16°Dhan47′ 02″, P Ashadha,2,Shukra,256.78,00°S00′ 00″,1.02,281.44,-23.02,1991-01-01 14:00:00
Chandra ,26°Mitu23′ 24″, Punarvasu,2,Guru,86.39,00°N43′ 37″,14.99,111.89,22.65,1991-01-01 14:00:00
Mangal ,04°Vibh00′ 53″, Krittika,3,Surya,34.01,02°N20′ 32″,-0.001,54.92,21.94,1991-01-01 14:00:00
Budha ,00°Dhan23′ 06″, Mula,1,Ketu,240.39,03°N08′ 00″,-0.37,263.75,-20.18,1991-01-01 14:00:00
Guru ,18°Kark11′ 59″, Ashlesha,1,Budha,108.2,00°N40′ 59″,-0.1,134.6,17.87,1991-01-01 14:00:00
Surya ,16°Kumb54′ 28″, Shatabhisha,4,Rahu,316.91,00°S00′ 00″,1.0,342.14,-7.58,1991-03-01 21:00:00
Chandra ,29°Simh27′ 26″, U Phalguni,1,Surya,149.46,04°S15′ 57″,13.63,172.07,-1.22,1991-03-01 21:00:00
Mangal ,20°Vibh17′ 05″, Rohini,4,Chandra,50.28,02°N09′ 57″,0.45,72.39,24.64,1991-03-01 21:00:00
Budha ,16°Kumb35′ 40″, Shatabhisha,3,Rahu,316.59,01°S48′ 52″,1.88,342.54,-9.37,1991-03-01 21:00:00
Guru ,11°Kark06′ 38″, Pushya,3,Shani,101.11,00°N47′ 29″,-0.09,127.4,19.82,1991-03-01 21:00:00
Shukra ,15°Meen19′ 58″, U Bhadrapada,4,Shani,345.33,00°S46′ 45″,1.23,8.64,2.88,1991-03-01 21:00:00
Shani ,08°Maka46′ 27″, U Ashadha,4,Surya,278.77,00°S13′ 06″,0.1,304.84,-19.81,1991-03-01 21:00:00
Shani ,08°Maka46′ 34″, U Ashadha,4,Surya,278.78,00°S13′ 06″,0.1,304.85,-19.81,1991-03-01 21:30:00
Arun ,19°Dhan07′ 46″, P Ashadha,2,Shukra,259.13,00°S20′ 04″,0.04,284.02,-23.15,1991-03-01 21:30:00
Varun ,22°Dhan23′ 55″, P Ashadha,3,Shukra,262.4,00°N47′ 29″,0.03,287.4,-21.68,1991-03-01 21:30:00
Yam ,26°Tula46′ 02″, Vishakha,3,Guru,206.77,15°N24′ 37″,-0.005,-127.88,-2.99,1991-03-01 21:30:00
Rahu ,02°Maka13′ 28″, U Ashadha,2,Surya,272.22,00°N00′ 00″,-0.05,297.96,-20.96,1991-03-01 21:30:00
Ketu ,02°Kark13′ 28″, Punarvasu,4,Guru,92.22,00°N00′ 00″,-0.05,117.96,20.96,1991-03-01 21:30:00
Spashth Rahu ,03°Maka32′ 59″, U Ashadha,3,Surya,273.55,00°N00′ 00″,-0.12,299.35,-20.7,1991-03-01 21:30:00
Shukra ,01°Maka33′ 30″, U Ashadha,2,Surya,271.56,01°S17′ 41″,1.25,297.51,-22.35,1991-01-01 14:00:00
Shani ,01°Maka58′ 40″, U Ashadha,2,Surya,271.98,00°S08′ 36″,0.12,297.72,-21.14,1991-01-01 14:00:00
Arun ,16°Dhan01′ 09″, P Ashadha,1,Shukra,256.02,00°S19′ 08″,0.06,280.64,-23.4,1991-01-01 14:00:00
Varun ,20°Dhan23′ 46″, P Ashadha,3,Shukra,260.4,00°N47′ 25″,0.04,285.26,-21.91,1991-01-01 14:00:00
Yam ,26°Tula01′ 01″, Vishakha,2,Guru,206.02,14°N58′ 45″,0.03,-128.69,-3.22,1991-01-01 14:00:00
Arun ,19°Dhan07′ 43″, P Ashadha,2,Shukra,259.13,00°S20′ 04″,0.04,284.02,-23.15,1991-03-01 21:00:00
Lagna ,04°Kany41′ 56″, U Phalguni,3,Surya,154.7,00°N00′ 00″,257.44,178.57,0.62,1991-03-01 20:30:00
Lagna ,29°Simh20′ 25″, U Phalguni,1,Surya,149.34,00°N00′ 00″,257.26,173.65,2.75,1991-03-01 20:00:00
Spashth Ketu ,03°Kark32′ 59″, Pushya,1,Shani,93.55,00°N00′ 00″,-0.12,119.35,20.7,1991-03-01 21:30:00
Rahu ,05°Maka22′ 03″, U Ashadha,3,Surya,275.37,00°N00′ 00″,-0.05,301.25,-20.34,1991-01-01 14:00:00
Ketu ,05°Kark22′ 03″, Pushya,1,Shani,95.37,00°N00′ 00″,-0.05,121.25,20.34,1991-01-01 14:00:00
Spashth Rahu ,04°Maka17′ 44″, U Ashadha,3,Surya,274.3,00°N00′ 00″,-0.01,300.13,-20.56,1991-01-01 14:00:00
Spashth Ketu ,04°Kark17′ 44″, Pushya,1,Shani,94.3,00°N00′ 00″,-0.01,120.13,20.56,1991-01-01 14:00:00
Varun ,22°Dhan23′ 53″, P Ashadha,3,Shukra,262.4,00°N47′ 29″,0.03,287.4,-21.68,1991-03-01 21:00:00
Yam ,26°Tula46′ 02″, Vishakha,3,Guru,206.77,15°N24′ 37″,-0.005,-127.88,-2.99,1991-03-01 21:00:00
Rahu ,02°Maka13′ 32″, U Ashadha,2,Surya,272.23,00°N00′ 00″,-0.05,297.96,-20.96,1991-03-01 21:00:00
